Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
21,	05/13/2026 15:39:48.634,21.0021,21.0021,1,1,1.7001,4.0872,6.9489,0.0098,0.0000,0.0399,0.0000,0.0098,0.0000,,,,,
22,	05/13/2026 15:39:49.632,22.0002,22.0002,1,1,1.7000,4.0877,6.9490,0.0102,0.0000,0.0418,0.0000,0.0102,0.0000,,,,,
23,	05/13/2026 15:39:50.633,23.0009,23.0009,1,1,1.7001,4.0882,6.9502,0.0107,0.0000,0.0437,0.0000,0.0107,0.0000,,0.0007,,,
24,	05/13/2026 15:39:51.634,24.0015,24.0015,1,1,1.6999,4.0888,6.9506,0.0112,0.0000,0.0456,0.0000,0.0112,0.0000,,,,,
25,	05/13/2026 15:39:52.634,25.0023,25.0023,1,1,1.7001,4.0894,6.9521,0.0117,0.0000,0.0476,0.0000,0.0117,0.0000,,,,,
26,	05/13/2026 15:39:53.633,26.0007,26.0007,1,1,1.6999,4.0899,6.9522,0.0121,0.0000,0.0495,0.0000,0.0121,0.0000,,,,,
27,	05/13/2026 15:39:54.634,27.0015,27.0015,1,1,1.7000,4.0902,6.9533,0.0126,0.0000,0.0514,0.0000,0.0126,0.0000,,,,,1.8163
28,	05/13/2026 15:39:55.633,28.0009,28.0009,1,1,1.7000,4.0907,6.9542,0.0131,0.0000,0.0534,0.0000,0.0131,0.0000,,0.0005,,,
29,	05/13/2026 15:39:56.633,29.0008,29.0008,1,1,1.7001,4.0912,6.9553,0.0135,0.0000,0.0553,0.0000,0.0135,0.0000,,,,0.7642,
30,	05/13/2026 15:39:57.633,30.0007,30.0007,1,1,1.7001,4.0917,6.9562,0.0140,0.0000,0.0572,0.0000,0.0140,0.0000,,,,,
31,	05/13/2026 15:39:58.633,31.0008,31.0008,1,1,1.7001,4.0922,6.9573,0.0145,0.0000,0.0592,0.0000,0.0145,0.0000,,,,,
32,	05/13/2026 15:39:59.634,32.0016,32.0016,1,1,1.7001,4.0927,6.9578,0.0150,0.0000,0.0611,0.0000,0.0150,0.0000,,,,,
33,	05/13/2026 15:40:00.632,33.0004,33.0004,1,1,1.7001,4.0930,6.9584,0.0154,0.0000,0.0630,0.0000,0.0154,0.0000,,,,,
34,	05/13/2026 15:40:01.634,34.0016,34.0016,1,1,1.7002,4.0935,6.9597,0.0159,0.0000,0.0650,0.0000,0.0159,0.0000,,0.0004,,,
35,	05/13/2026 15:40:02.634,35.0018,35.0018,1,1,1.7001,4.0940,6.9600,0.0164,0.0000,0.0669,0.0000,0.0164,0.0000,,,,,
36,	05/13/2026 15:40:03.632,36.0002,36.0002,1,1,1.7001,4.0943,6.9610,0.0169,0.0000,0.0688,0.0000,0.0169,0.0000,,,,,
37,	05/13/2026 15:40:04.634,37.0018,37.0018,1,1,1.7000,4.0948,6.9609,0.0173,0.0000,0.0708,0.0000,0.0173,0.0000,,,,,
38,	05/13/2026 15:40:05.633,38.0007,38.0007,1,1,1.7000,4.0951,6.9617,0.0178,0.0000,0.0727,0.0000,0.0178,0.0000,,,,,
39,	05/13/2026 15:40:06.634,39.0018,39.0018,1,1,1.7000,4.0954,6.9621,0.0183,0.0000,0.0746,0.0000,0.0183,0.0000,,,,,
40,	05/13/2026 15:40:07.634,40.0024,40.0024,1,1,1.7001,4.0956,6.9629,0.0187,0.0000,0.0766,0.0000,0.0187,0.0000,,0.0004,,,
41,	05/13/2026 15:40:08.633,41.0007,41.0007,1,1,1.7000,4.0959,6.9630,0.0192,0.0000,0.0785,0.0000,0.0192,0.0000,,,,,
42,	05/13/2026 15:40:09.634,42.0016,42.0016,1,1,1.7001,4.0963,6.9641,0.0197,0.0000,0.0804,0.0000,0.0197,0.0000,,,,,
43,	05/13/2026 15:40:10.633,43.0006,43.0006,1,1,1.6999,4.0967,6.9639,0.0202,0.0000,0.0824,0.0000,0.0202,0.0000,,,,,
44,	05/13/2026 15:40:11.634,44.0017,44.0017,1,1,1.7000,4.0970,6.9649,0.0206,0.0000,0.0843,0.0000,0.0206,0.0000,,,,,
45,	05/13/2026 15:40:12.633,45.0005,45.0005,1,1,1.6998,4.0972,6.9645,0.0211,0.0000,0.0862,0.0000,0.0211,0.0000,,,,,
46,	05/13/2026 15:40:13.634,46.0015,46.0015,1,1,1.7000,4.0976,6.9659,0.0216,0.0000,0.0882,0.0000,0.0216,0.0000,,0.0004,,,
47,	05/13/2026 15:40:14.633,47.0005,47.0005,1,1,1.7001,4.0979,6.9668,0.0220,0.0000,0.0901,0.0000,0.0220,0.0000,,,,,
48,	05/13/2026 15:40:15.635,48.0025,48.0025,1,1,1.7001,4.0983,6.9674,0.0225,0.0000,0.0920,0.0000,0.0225,0.0000,,,,,
49,	05/13/2026 15:40:16.634,49.0015,49.0015,1,1,1.7000,4.0987,6.9678,0.0230,0.0000,0.0940,0.0000,0.0230,0.0000,,,,,
50,	05/13/2026 15:40:17.634,50.0016,50.0016,1,1,1.6999,4.0990,6.9678,0.0235,0.0000,0.0959,0.0000,0.0235,0.0000,,,,,
51,	05/13/2026 15:40:18.633,51.0007,51.0007,1,1,1.7001,4.0993,6.9692,0.0239,0.0000,0.0978,0.0000,0.0239,0.0000,,,,,
52,	05/13/2026 15:40:19.633,52.0007,52.0007,1,1,1.7000,4.0996,6.9695,0.0244,0.0000,0.0998,0.0000,0.0244,0.0000,,,,,
53,	05/13/2026 15:40:20.634,53.0015,53.0015,1,1,1.7000,4.0999,6.9699,0.0249,0.0000,0.1017,0.0000,0.0249,0.0000,,0.0004,,,
54,	05/13/2026 15:40:21.634,54.0017,54.0017,1,1,1.6999,4.1002,6.9701,0.0254,0.0000,0.1036,0.0000,0.0254,0.0000,,,,,
55,	05/13/2026 15:40:22.634,55.0016,55.0016,1,1,1.6999,4.1005,6.9706,0.0258,0.0000,0.1056,0.0000,0.0258,0.0000,,,,,
56,	05/13/2026 15:40:23.633,56.0008,56.0008,1,1,1.7001,4.1008,6.9717,0.0263,0.0000,0.1075,0.0000,0.0263,0.0000,,,,,
57,	05/13/2026 15:40:24.634,57.0015,57.0015,1,1,1.6999,4.1011,6.9716,0.0268,0.0000,0.1095,0.0000,0.0268,0.0000,,,,1.3458,
58,	05/13/2026 15:40:25.633,58.0007,58.0007,1,1,1.6999,4.1013,6.9718,0.0272,0.0000,0.1114,0.0000,0.0272,0.0000,,,,,
59,	05/13/2026 15:40:26.633,59.0009,59.0009,1,1,1.6999,4.1015,6.9722,0.0277,0.0000,0.1133,0.0000,0.0277,0.0000,,,,,
60,	05/13/2026 15:40:27.633,60.0008,60.0008,1,1,1.7000,4.1017,6.9730,0.0282,0.0000,0.1153,0.0000,0.0282,0.0000,,,,,
61,	05/13/2026 15:40:28.633,61.0014,61.0014,1,1,1.6999,4.1019,6.9728,0.0287,0.0000,0.1172,0.0000,0.0287,0.0000,,0.0003,,,
62,	05/13/2026 15:40:29.633,62.0007,62.0007,1,1,1.6999,4.1022,6.9734,0.0291,0.0000,0.1191,0.0000,0.0291,0.0000,,,,,
63,	05/13/2026 15:40:30.634,63.0018,63.0018,1,1,1.7001,4.1026,6.9748,0.0296,0.0000,0.1211,0.0000,0.0296,0.0000,,,,,
64,	05/13/2026 15:40:31.634,64.0024,64.0024,1,1,1.7000,4.1028,6.9747,0.0301,0.0000,0.1230,0.0000,0.0301,0.0000,,,,,
65,	05/13/2026 15:40:32.633,65.0009,65.0009,1,1,1.7000,4.1031,6.9752,0.0305,0.0000,0.1249,0.0000,0.0305,0.0000,,,,,
66,	05/13/2026 15:40:33.634,66.0016,66.0016,1,1,1.6999,4.1034,6.9754,0.0310,0.0000,0.1269,0.0000,0.0310,0.0000,,,,,
67,	05/13/2026 15:40:34.633,67.0008,67.0008,1,1,1.7000,4.1036,6.9759,0.0315,0.0000,0.1288,0.0000,0.0315,0.0000,,,,,
68,	05/13/2026 15:40:35.635,68.0026,68.0026,1,1,1.7001,4.1040,6.9770,0.0320,0.0000,0.1308,0.0000,0.0320,0.0000,,,,,
69,	05/13/2026 15:40:36.633,69.0014,69.0014,1,1,1.6999,4.1043,6.9769,0.0324,0.0000,0.1327,0.0000,0.0324,0.0000,,0.0003,,,
70,	05/13/2026 15:40:37.634,70.0016,70.0016,1,1,1.7000,4.1046,6.9778,0.0329,0.0000,0.1346,0.0000,0.0329,0.0000,,,,,
71,	05/13/2026 15:40:38.634,71.0017,71.0017,1,1,1.7000,4.1049,6.9781,0.0334,0.0000,0.1366,0.0000,0.0334,0.0000,,,,,
72,	05/13/2026 15:40:39.633,72.0009,72.0009,1,1,1.7001,4.1050,6.9787,0.0338,0.0000,0.1385,0.0000,0.0338,0.0000,,,,,
73,	05/13/2026 15:40:40.633,73.0010,73.0010,1,1,1.6999,4.1053,6.9785,0.0343,0.0000,0.1404,0.0000,0.0343,0.0000,,,,,
74,	05/13/2026 15:40:41.634,74.0016,74.0016,1,1,1.7001,4.1056,6.9798,0.0348,0.0000,0.1424,0.0000,0.0348,0.0000,,,,,
75,	05/13/2026 15:40:42.634,75.0016,75.0016,1,1,1.6999,4.1059,6.9795,0.0353,0.0000,0.1443,0.0000,0.0353,0.0000,,,,,
76,	05/13/2026 15:40:43.634,76.0016,76.0016,1,1,1.6999,4.1061,6.9797,0.0357,0.0000,0.1463,0.0000,0.0357,0.0000,,,,,
77,	05/13/2026 15:40:44.633,77.0008,77.0008,1,1,1.7000,4.1063,6.9806,0.0362,0.0000,0.1482,0.0000,0.0362,0.0000,,,,,
78,	05/13/2026 15:40:45.632,78.0002,78.0002,1,1,1.6998,4.1065,6.9802,0.0367,0.0000,0.1501,0.0000,0.0367,0.0000,,,,,
79,	05/13/2026 15:40:46.633,79.0008,79.0008,1,1,1.6999,4.1067,6.9811,0.0372,0.0000,0.1521,0.0000,0.0372,0.0000,,0.0002,,,
80,	05/13/2026 15:40:47.633,80.0006,80.0006,1,1,1.6999,4.1069,6.9814,0.0376,0.0000,0.1540,0.0000,0.0376,0.0000,,,,,
81,	05/13/2026 15:40:48.634,81.0016,81.0016,1,1,1.6999,4.1071,6.9818,0.0381,0.0000,0.1560,0.0000,0.0381,0.0000,,,,,
82,	05/13/2026 15:40:49.634,82.0017,82.0017,1,1,1.6999,4.1074,6.9821,0.0386,0.0000,0.1579,0.0000,0.0386,0.0000,,,,,
83,	05/13/2026 15:40:50.634,83.0016,83.0016,1,1,1.7000,4.1076,6.9829,0.0390,0.0000,0.1598,0.0000,0.0390,0.0000,,,,,
84,	05/13/2026 15:40:51.633,84.0011,84.0011,1,1,1.7000,4.1079,6.9834,0.0395,0.0000,0.1618,0.0000,0.0395,0.0000,,,,,
85,	05/13/2026 15:40:52.633,85.0010,85.0010,1,1,1.7000,4.1082,6.9839,0.0400,0.0000,0.1637,0.0000,0.0400,0.0000,,,,,
86,	05/13/2026 15:40:53.633,86.0008,86.0008,1,1,1.6999,4.1085,6.9839,0.0405,0.0000,0.1656,0.0000,0.0405,0.0000,,,,,
87,	05/13/2026 15:40:54.633,87.0009,87.0009,1,1,1.7000,4.1089,6.9849,0.0409,0.0000,0.1676,0.0000,0.0409,0.0000,,0.0003,,,
88,	05/13/2026 15:40:55.634,88.0017,88.0017,1,1,1.7000,4.1091,6.9855,0.0414,0.0000,0.1695,0.0000,0.0414,0.0000,,,,,
89,	05/13/2026 15:40:56.633,89.0008,89.0008,1,1,1.6999,4.1093,6.9852,0.0419,0.0000,0.1715,0.0000,0.0419,0.0000,,,,,
90,	05/13/2026 15:40:57.634,90.0016,90.0016,1,1,1.6999,4.1096,6.9858,0.0423,0.0000,0.1734,0.0000,0.0423,0.0000,,,,,
91,	05/13/2026 15:40:58.634,91.0017,91.0017,1,1,1.7000,4.1098,6.9867,0.0428,0.0000,0.1754,0.0000,0.0428,0.0000,,,,,
92,	05/13/2026 15:40:59.633,92.0014,92.0014,1,1,1.7000,4.1100,6.9871,0.0433,0.0000,0.1773,0.0000,0.0433,0.0000,,,,,
93,	05/13/2026 15:41:00.634,93.0016,93.0016,1,1,1.7000,4.1102,6.9873,0.0438,0.0000,0.1792,0.0000,0.0438,0.0000,,,,,
94,	05/13/2026 15:41:01.632,94.0004,94.0004,1,1,1.6999,4.1106,6.9877,0.0442,0.0000,0.1812,0.0000,0.0442,0.0000,,,,,0.6364
95,	05/13/2026 15:41:02.633,95.0007,95.0007,1,1,1.6998,4.1107,6.9874,0.0447,0.0000,0.1831,0.0000,0.0447,0.0000,,,,,
96,	05/13/2026 15:41:03.632,96.0002,96.0002,1,1,1.6999,4.1109,6.9881,0.0452,0.0000,0.1851,0.0000,0.0452,0.0000,,0.0002,,,
97,	05/13/2026 15:41:04.633,97.0008,97.0008,1,1,1.7001,4.1111,6.9891,0.0457,0.0000,0.1870,0.0000,0.0457,0.0000,,,,1.8601,
98,	05/13/2026 15:41:05.633,98.0007,98.0007,1,1,1.7000,4.1113,6.9892,0.0461,0.0000,0.1889,0.0000,0.0461,0.0000,,,,,
99,	05/13/2026 15:41:06.633,99.0008,99.0008,1,1,1.6999,4.1115,6.9891,0.0466,0.0000,0.1909,0.0000,0.0466,0.0000,,,,,
100,	05/13/2026 15:41:07.633,100.0008,100.0008,1,1,1.6999,4.1118,6.9898,0.0471,0.0000,0.1928,0.0000,0.0471,0.0000,,,,,
101,	05/13/2026 15:41:08.634,101.0017,101.0017,1,1,1.7001,4.1120,6.9908,0.0475,0.0000,0.1948,0.0000,0.0475,0.0000,,,,,
102,	05/13/2026 15:41:09.633,102.0009,102.0009,1,1,1.6999,4.1123,6.9904,0.0480,0.0000,0.1967,0.0000,0.0480,0.0000,,,,,
103,	05/13/2026 15:41:10.633,103.0010,103.0010,1,1,1.6999,4.1123,6.9905,0.0485,0.0000,0.1986,0.0000,0.0485,0.0000,,,,,
104,	05/13/2026 15:41:11.633,104.0008,104.0008,1,1,1.6999,4.1127,6.9913,0.0490,0.0000,0.2006,0.0000,0.0490,0.0000,,,,,
105,	05/13/2026 15:41:12.633,105.0007,105.0007,1,1,1.6999,4.1131,6.9919,0.0494,0.0000,0.2025,0.0000,0.0494,0.0000,,0.0003,,,
106,	05/13/2026 15:41:13.632,106.0002,106.0002,1,1,1.6999,4.1133,6.9923,0.0499,0.0000,0.2045,0.0000,0.0499,0.0000,,,,,
107,	05/13/2026 15:41:14.633,107.0007,107.0007,1,1,1.7000,4.1136,6.9931,0.0504,0.0000,0.2064,0.0000,0.0504,0.0000,,,,,
108,	05/13/2026 15:41:15.633,108.0010,108.0010,1,1,1.6999,4.1138,6.9932,0.0508,0.0000,0.2084,0.0000,0.0508,0.0000,,,,,
109,	05/13/2026 15:41:16.634,109.0015,109.0015,1,1,1.6999,4.1141,6.9938,0.0513,0.0000,0.2103,0.0000,0.0513,0.0000,,,,,
110,	05/13/2026 15:41:17.633,110.0007,110.0007,1,1,1.7000,4.1143,6.9943,0.0518,0.0000,0.2122,0.0000,0.0518,0.0000,,,,,
111,	05/13/2026 15:41:18.633,111.0009,111.0009,1,1,1.6999,4.1145,6.9944,0.0523,0.0000,0.2142,0.0000,0.0523,0.0000,,,,,
112,	05/13/2026 15:41:19.634,112.0016,112.0016,1,1,1.6999,4.1148,6.9946,0.0527,0.0000,0.2161,0.0000,0.0527,0.0000,,,,,
113,	05/13/2026 15:41:20.633,113.0006,113.0006,1,1,1.7000,4.1149,6.9954,0.0532,0.0000,0.2181,0.0000,0.0532,0.0000,,,,,
114,	05/13/2026 15:41:21.633,114.0007,114.0007,1,1,1.6998,4.1151,6.9950,0.0537,0.0000,0.2200,0.0000,0.0537,0.0000,,0.0002,,,
115,	05/13/2026 15:41:22.633,115.0008,115.0008,1,1,1.7000,4.1152,6.9959,0.0541,0.0000,0.2219,0.0000,0.0541,0.0000,,,,,
116,	05/13/2026 15:41:23.634,116.0018,116.0018,1,1,1.6999,4.1155,6.9959,0.0546,0.0000,0.2239,0.0000,0.0546,0.0000,,,,,
117,	05/13/2026 15:41:24.633,117.0007,117.0007,1,1,1.6999,4.1157,6.9964,0.0551,0.0000,0.2258,0.0000,0.0551,0.0000,,,,,
118,	05/13/2026 15:41:25.633,118.0008,118.0008,1,1,1.6998,4.1159,6.9964,0.0556,0.0000,0.2278,0.0000,0.0556,0.0000,,,,,
119,	05/13/2026 15:41:26.634,119.0017,119.0017,1,1,1.7000,4.1162,6.9974,0.0560,0.0000,0.2297,0.0000,0.0560,0.0000,,,,,
120,	05/13/2026 15:41:27.633,120.0009,120.0009,1,1,1.7000,4.1164,6.9979,0.0565,0.0000,0.2317,0.0000,0.0565,0.0000,,,,,
121,	05/13/2026 15:41:28.634,121.0016,121.0016,1,1,1.7000,4.1166,6.9983,0.0570,0.0000,0.2336,0.0000,0.0570,0.0000,,,,,
122,	05/13/2026 15:41:29.633,122.0009,122.0009,1,1,1.6999,4.1168,6.9983,0.0575,0.0000,0.2355,0.0000,0.0575,0.0000,,,,,
123,	05/13/2026 15:41:30.633,123.0009,123.0009,1,1,1.7000,4.1170,6.9987,0.0579,0.0000,0.2375,0.0000,0.0579,0.0000,,,,,
124,	05/13/2026 15:41:31.632,124.0004,124.0004,1,1,1.6998,4.1174,6.9990,0.0584,0.0000,0.2394,0.0000,0.0584,0.0000,,,,,
125,	05/13/2026 15:41:32.633,125.0013,125.0013,1,1,1.6999,4.1177,6.9995,0.0589,0.0000,0.2414,0.0000,0.0589,0.0000,,0.0002,,,
126,	05/13/2026 15:41:33.634,126.0023,126.0023,1,1,1.7000,4.1180,7.0004,0.0593,0.0000,0.2433,0.0000,0.0593,0.0000,,,,,
127,	05/13/2026 15:41:34.634,127.0023,127.0023,1,1,1.6999,4.1182,7.0005,0.0598,0.0000,0.2453,0.0000,0.0598,0.0000,,,,,
128,	05/13/2026 15:41:35.632,128.0001,128.0001,1,1,1.6999,4.1184,7.0010,0.0603,0.0000,0.2472,0.0000,0.0603,0.0000,,,,,
129,	05/13/2026 15:41:36.633,129.0009,129.0009,1,1,1.6999,4.1186,7.0011,0.0608,0.0000,0.2492,0.0000,0.0608,0.0000,,,,,
130,	05/13/2026 15:41:37.633,130.0008,130.0008,1,1,1.6998,4.1188,7.0010,0.0612,0.0000,0.2511,0.0000,0.0612,0.0000,,,,,
131,	05/13/2026 15:41:38.634,131.0021,131.0021,1,1,1.6999,4.1190,7.0020,0.0617,0.0000,0.2531,0.0000,0.0617,0.0000,,,,,
132,	05/13/2026 15:41:39.634,132.0020,132.0020,1,1,1.6999,4.1194,7.0027,0.0622,0.0000,0.2550,0.0000,0.0622,0.0000,,,,,
133,	05/13/2026 15:41:40.634,133.0015,133.0015,1,1,1.6998,4.1195,7.0023,0.0626,0.0000,0.2569,0.0000,0.0626,0.0000,,,,,
134,	05/13/2026 15:41:41.632,134.0001,134.0001,1,1,1.7000,4.1195,7.0030,0.0631,0.0000,0.2589,0.0000,0.0631,0.0000,,,,,
135,	05/13/2026 15:41:42.633,135.0009,135.0009,1,1,1.6999,4.1197,7.0033,0.0636,0.0000,0.2608,0.0000,0.0636,0.0000,,0.0002,,,
136,	05/13/2026 15:41:43.635,136.0026,136.0026,1,1,1.6998,4.1200,7.0034,0.0641,0.0000,0.2628,0.0000,0.0641,0.0000,,,,,
137,	05/13/2026 15:41:44.633,137.0007,137.0007,1,1,1.6999,4.1202,7.0039,0.0645,0.0000,0.2647,0.0000,0.0645,0.0000,,,,,
138,	05/13/2026 15:41:45.634,138.0023,138.0023,1,1,1.7000,4.1204,7.0046,0.0650,0.0000,0.2667,0.0000,0.0650,0.0000,,,,,
139,	05/13/2026 15:41:46.634,139.0017,139.0017,1,1,1.6997,4.1207,7.0041,0.0655,0.0000,0.2686,0.0000,0.0655,0.0000,,,,,
140,	05/13/2026 15:41:47.634,140.0017,140.0017,1,1,1.7000,4.1209,7.0054,0.0660,0.0000,0.2706,0.0000,0.0660,0.0000,,,,,
141,	05/13/2026 15:41:48.634,141.0017,141.0017,1,1,1.7000,4.1212,7.0060,0.0664,0.0000,0.2725,0.0000,0.0664,0.0000,,,,2.0649,
142,	05/13/2026 15:41:49.634,142.0015,142.0015,1,1,1.7000,4.1214,7.0063,0.0669,0.0000,0.2744,0.0000,0.0669,0.0000,,,,,
143,	05/13/2026 15:41:50.633,143.0008,143.0008,1,1,1.7000,4.1216,7.0066,0.0674,0.0000,0.2764,0.0000,0.0674,0.0000,,,,,
144,	05/13/2026 15:41:51.635,144.0025,144.0025,1,1,1.6999,4.1220,7.0069,0.0678,0.0000,0.2783,0.0000,0.0678,0.0000,,,,,
145,	05/13/2026 15:41:52.634,145.0015,145.0015,1,1,1.6999,4.1222,7.0072,0.0683,0.0000,0.2803,0.0000,0.0683,0.0000,,0.0002,,,
146,	05/13/2026 15:41:53.633,146.0009,146.0009,1,1,1.7000,4.1224,7.0081,0.0688,0.0000,0.2822,0.0000,0.0688,0.0000,,,,,
147,	05/13/2026 15:41:54.633,147.0008,147.0008,1,1,1.6999,4.1226,7.0078,0.0693,0.0000,0.2842,0.0000,0.0693,0.0000,,,,,
148,	05/13/2026 15:41:55.633,148.0005,148.0005,1,1,1.7000,4.1228,7.0090,0.0697,0.0000,0.2861,0.0000,0.0697,0.0000,,,,,
149,	05/13/2026 15:41:56.633,149.0007,149.0007,1,1,1.6999,4.1230,7.0088,0.0702,0.0000,0.2881,0.0000,0.0702,0.0000,,,,,
150,	05/13/2026 15:41:57.633,150.0009,150.0009,1,1,1.7000,4.1233,7.0094,0.0707,0.0000,0.2900,0.0000,0.0707,0.0000,,,,,
151,	05/13/2026 15:41:58.634,151.0016,151.0016,1,1,1.6999,4.1234,7.0092,0.0711,0.0000,0.2920,0.0000,0.0711,0.0000,,,,,
152,	05/13/2026 15:41:59.633,152.0010,152.0010,1,1,1.6998,4.1235,7.0094,0.0716,0.0000,0.2939,0.0000,0.0716,0.0000,,,,,
153,	05/13/2026 15:42:00.633,153.0008,153.0008,1,1,1.7000,4.1238,7.0102,0.0721,0.0000,0.2959,0.0000,0.0721,0.0000,,,,,
154,	05/13/2026 15:42:01.633,154.0008,154.0008,1,1,1.7001,4.1238,7.0111,0.0726,0.0000,0.2978,0.0000,0.0726,0.0000,,0.0002,,,
155,	05/13/2026 15:42:02.634,155.0017,155.0017,1,1,1.7001,4.1241,7.0115,0.0730,0.0000,0.2998,0.0000,0.0730,0.0000,,,,,
156,	05/13/2026 15:42:03.634,156.0016,156.0016,1,1,1.7002,4.1243,7.0124,0.0735,0.0000,0.3017,0.0000,0.0735,0.0000,,,,,
157,	05/13/2026 15:42:04.633,157.0008,157.0008,1,1,1.7003,4.1245,7.0129,0.0740,0.0000,0.3036,0.0000,0.0740,0.0000,,,,,
158,	05/13/2026 15:42:05.633,158.0009,158.0009,1,1,1.7005,4.1248,7.0141,0.0745,0.0000,0.3056,0.0000,0.0745,0.0000,,,,,
159,	05/13/2026 15:42:06.634,159.0016,159.0016,1,1,1.7004,4.1251,7.0141,0.0749,0.0000,0.3075,0.0000,0.0749,0.0000,,,,,
160,	05/13/2026 15:42:07.633,160.0006,160.0006,1,1,1.7004,4.1252,7.0145,0.0754,0.0000,0.3095,0.0000,0.0754,0.0000,,,,,
161,	05/13/2026 15:42:08.634,161.0022,161.0022,1,1,1.7003,4.1255,7.0147,0.0759,0.0000,0.3114,0.0000,0.0759,0.0000,,,,,
162,	05/13/2026 15:42:09.634,162.0017,162.0017,1,1,1.7004,4.1257,7.0154,0.0763,0.0000,0.3134,0.0000,0.0763,0.0000,,,,,
163,	05/13/2026 15:42:10.633,163.0014,163.0014,1,1,1.7003,4.1261,7.0157,0.0768,0.0000,0.3153,0.0000,0.0768,0.0000,,,,,
164,	05/13/2026 15:42:11.634,164.0018,164.0018,1,1,1.7004,4.1262,7.0163,0.0773,0.0000,0.3173,0.0000,0.0773,0.0000,,0.0002,,,
